"Control"	"Disease"	"repeat_n"
"ERR2017464"	0.535535535535536	0.464464464464464	1
"ERR2017580"	0.522522522522523	0.477477477477477	1
"ERR2017522"	0.441441441441441	0.558558558558559	1
"ERR2017438"	0.667667667667668	0.332332332332332	1
"ERR2017536"	0.275275275275275	0.724724724724725	1
"ERR2017440"	0.63963963963964	0.36036036036036	1
"ERR2017518"	0.297297297297297	0.702702702702703	1
"ERR2017411"	0.677677677677678	0.322322322322322	1
"ERR2017437"	0.555555555555556	0.444444444444444	1
"ERR2017489"	0.336336336336336	0.663663663663664	1
"ERR2017458"	0.795795795795796	0.204204204204204	1
"ERR2017451"	0.655655655655656	0.344344344344344	1
"ERR2017414"	0.403403403403403	0.596596596596597	1
"ERR2017552"	0.417417417417417	0.582582582582583	1
"ERR2017416"	0.685685685685686	0.314314314314314	1
"ERR2017595"	0.287287287287287	0.712712712712713	1
"ERR2017442"	0.775775775775776	0.224224224224224	1
"ERR2017512"	0.344344344344344	0.655655655655656	1
"ERR2017514"	0.603603603603604	0.396396396396396	1
"ERR2017449"	0.424424424424424	0.575575575575576	1
"ERR2017549"	0.405405405405405	0.594594594594595	1
"ERR2017463"	0.567567567567568	0.432432432432432	1
"ERR2017453"	0.22022022022022	0.77977977977978	1
"ERR2017455"	0.587587587587588	0.412412412412412	1
"ERR2017584"	0.44044044044044	0.55955955955956	1
"ERR2017482"	0.342342342342342	0.657657657657658	1
"ERR2017420"	0.633633633633634	0.366366366366366	1
"ERR2017570"	0.239239239239239	0.760760760760761	1
"ERR2017506"	0.373373373373373	0.626626626626627	1
"ERR2017581"	0.60960960960961	0.39039039039039	1
"ERR2017448"	0.732732732732733	0.267267267267267	1
"ERR3021316"	0.263263263263263	0.736736736736737	1
"ERR3021287"	0.53953953953954	0.46046046046046	1
"ERR3021295"	0.7997997997998	0.2002002002002	1
"ERR3021299"	0.750750750750751	0.249249249249249	1
"ERR3021288"	0.498498498498498	0.501501501501502	1
"ERR3021285"	0.232232232232232	0.767767767767768	1
"ERR3021301"	0.664664664664665	0.335335335335335	1
"ERR3021307"	0.686686686686687	0.313313313313313	1
"ERR3021272"	0.227227227227227	0.772772772772773	1
"ERR2843619"	0.64964964964965	0.35035035035035	1
"ERR2843615"	0.36036036036036	0.63963963963964	1
"ERR2843560"	0.408408408408408	0.591591591591592	1
"ERR2843661"	0.346346346346346	0.653653653653654	1
"ERR2843686"	0.550550550550551	0.449449449449449	1
"ERR2843544"	0.428428428428428	0.571571571571572	1
"ERR2843627"	0.369369369369369	0.630630630630631	1
"ERR2843632"	0.574574574574575	0.425425425425425	1
"ERR2868453"	0.481481481481481	0.518518518518518	1
"ERR2868472"	0.497497497497497	0.502502502502503	1
"ERR2868422"	0.477477477477477	0.522522522522523	1
"ERR2868480"	0.314314314314314	0.685685685685686	1
"ERR2608623"	0.540540540540541	0.459459459459459	1
"ERR2608624"	0.391391391391391	0.608608608608609	1
"ERR2608622"	0.314314314314314	0.685685685685686	1
"ERR2608628"	0.31031031031031	0.68968968968969	1
"ERR2608621"	0.474474474474474	0.525525525525526	1
"ERR2608612"	0.506506506506507	0.493493493493493	1
"ERR2608988"	0.463463463463463	0.536536536536537	1
"ERR2608987"	0.419419419419419	0.580580580580581	1
"ERR2608990"	0.453453453453453	0.546546546546547	1
"SRR13327518"	0.406406406406406	0.593593593593594	1
"SRR13327527"	0.421421421421421	0.578578578578579	1
"SRR13327513"	0.323323323323323	0.676676676676677	1
"SRR13327543"	0.492492492492492	0.507507507507508	1
"SRR13327520"	0.518518518518518	0.481481481481481	1
"SRR13327531"	0.294294294294294	0.705705705705706	1
"SRR13327515"	0.349349349349349	0.650650650650651	1
"SRR13327539"	0.635635635635636	0.364364364364364	1
"SRR13327524"	0.28028028028028	0.71971971971972	1
"SRR13327548"	0.224224224224224	0.775775775775776	1
"SRR13327517"	0.438438438438438	0.561561561561562	1
"SRR13327530"	0.605605605605606	0.394394394394394	1
"SRR13327504"	0.305305305305305	0.694694694694695	1
"SRR13327507"	0.501501501501502	0.498498498498498	1
"SRR13327438"	0.508508508508508	0.491491491491492	1
"SRR13327519"	0.514514514514514	0.485485485485485	1
"SRR13327439"	0.266266266266266	0.733733733733734	1
"SRR13327426"	0.705705705705706	0.294294294294294	1
"SRR13327430"	0.418418418418418	0.581581581581582	1
"SRR13327428"	0.556556556556557	0.443443443443443	1
"SRR13327432"	0.407407407407407	0.592592592592593	1
"WGC076539"	0.429429429429429	0.570570570570571	1
"WGC076495"	0.381381381381381	0.618618618618619	1
"WGC076499"	0.414414414414414	0.585585585585586	1
"WGC076514"	0.43043043043043	0.56956956956957	1
"WGC076314"	0.663663663663664	0.336336336336336	1
"WGC076504"	0.409409409409409	0.590590590590591	1
"WGC076521"	0.112112112112112	0.887887887887888	1
"WGC076294"	0.532532532532533	0.467467467467467	1
"WGC076290"	0.396396396396396	0.603603603603604	1
"WGC076300"	0.371371371371371	0.628628628628629	1
"WGC076534"	0.572572572572573	0.427427427427427	1
"WGC076538"	0.374374374374374	0.625625625625626	1
"WGC076315"	0.545545545545546	0.454454454454454	1
"WGC076511"	0.446446446446446	0.553553553553554	1
"WGC076523"	0.469469469469469	0.530530530530531	1
"WGC076531"	0.567567567567568	0.432432432432432	1
"WGC076306"	0.487487487487487	0.512512512512513	1
"SRR8675890"	0.68968968968969	0.31031031031031	1
"SRR8675913"	0.620620620620621	0.379379379379379	1
"SRR8675916"	0.66966966966967	0.33033033033033	1
"SRR8675898"	0.643643643643644	0.356356356356356	1
"SRR8675891"	0.58958958958959	0.41041041041041	1
"SRR8675889"	0.491491491491492	0.508508508508508	1
"SRR8675896"	0.756756756756757	0.243243243243243	1
"SRR8675892"	0.57957957957958	0.42042042042042	1
"SRR8675906"	0.623623623623624	0.376376376376376	1
"SRR8675917"	0.654654654654655	0.345345345345345	1
"SRR8845315"	0.540540540540541	0.459459459459459	1
"SRR8845555"	0.521521521521522	0.478478478478478	1
"SRR8845446"	0.254254254254254	0.745745745745746	1
"SRR8845473"	0.553553553553554	0.446446446446446	1
"SRR8845658"	0.509509509509509	0.49049049049049	1
"SRR8845563"	0.443443443443443	0.556556556556557	1
"SRR8845442"	0.516516516516517	0.483483483483483	1
"SRR8845505"	0.633633633633634	0.366366366366366	1
"SRR8845312"	0.505505505505506	0.494494494494495	1
"SRR8845423"	0.568568568568569	0.431431431431431	1
"SRR8845424"	0.368368368368368	0.631631631631632	1
"SRR8845562"	0.392392392392392	0.607607607607608	1
"SRR8845568"	0.498498498498498	0.501501501501502	1
"SRR8845343"	0.357357357357357	0.642642642642643	1
"SRR8845450"	0.421421421421421	0.578578578578579	1
"SRR8845653"	0.587587587587588	0.412412412412412	1
"SRR8845521"	0.319319319319319	0.680680680680681	1
"SRR8845567"	0.212212212212212	0.787787787787788	1
"SRR8845481"	0.36036036036036	0.63963963963964	1
"SRR8845500"	0.347347347347347	0.652652652652653	1
"SRR8845622"	0.404404404404404	0.595595595595596	1
"SRR8845554"	0.424424424424424	0.575575575575576	1
"SRR8845591"	0.556556556556557	0.443443443443443	1
"SRR8845550"	0.47047047047047	0.529529529529529	1
"SRR8845629"	0.461461461461461	0.538538538538539	1
"SRR8845533"	0.399399399399399	0.600600600600601	1
"SRR8845499"	0.443443443443443	0.556556556556557	1
"SRR8845432"	0.553553553553554	0.446446446446446	1
"SRR8845638"	0.421421421421421	0.578578578578579	1
"F084299"	0.583583583583584	0.416416416416416	1
"F287984"	0.438438438438438	0.561561561561562	1
"X907995"	0.42042042042042	0.57957957957958	1
"Y0956998"	0.518518518518518	0.481481481481481	1
"F287743"	0.501501501501502	0.498498498498498	1
"F287632"	0.522522522522523	0.477477477477477	1
"C388363"	0.536536536536537	0.463463463463463	1
"SRR6504900"	0.39039039039039	0.60960960960961	1
"SRR6504845"	0.504504504504504	0.495495495495495	1
"SRR6504888"	0.354354354354354	0.645645645645646	1
"SRR6504903"	0.263263263263263	0.736736736736737	1
"ERR1620365"	0.606606606606607	0.393393393393393	1
"ERR1620363"	0.567567567567568	0.432432432432432	1
"ERR1620340"	0.748748748748749	0.251251251251251	1
"ERR1620362"	0.463463463463463	0.536536536536537	1
"ERR1620322"	0.700700700700701	0.299299299299299	1
"ERR1620356"	0.686686686686687	0.313313313313313	1
"ERR1620348"	0.53953953953954	0.46046046046046	1
"ERR1620361"	0.439439439439439	0.560560560560561	1
"ERR1620368"	0.532532532532533	0.467467467467467	1
"ERR1620342"	0.502502502502503	0.497497497497497	1
"ERR1620327"	0.484484484484485	0.515515515515516	1
"ERR1620366"	0.427427427427427	0.572572572572573	1
"ERR1620335"	0.509509509509509	0.49049049049049	1
"CKD_CON.031"	0.807807807807808	0.192192192192192	1
"CKD_CON.004"	0.454454454454454	0.545545545545546	1
"CKD_CON.023"	0.583583583583584	0.416416416416416	1
"CKD_CON.039"	0.675675675675676	0.324324324324324	1
"CKD_CON.008"	0.754754754754755	0.245245245245245	1
"CKD_CON.060"	0.364364364364364	0.635635635635636	1
"CKD_CON.051"	0.75975975975976	0.24024024024024	1
"CKD_CON.037"	0.144144144144144	0.855855855855856	1
"CKD_CON.045"	0.804804804804805	0.195195195195195	1
"CKD_CON.027"	0.855855855855856	0.144144144144144	1
"CKD_CON.032"	0.771771771771772	0.228228228228228	1
"CKD_CON.040"	0.267267267267267	0.732732732732733	1
"CKD_CON.068"	0.545545545545546	0.454454454454454	1
"CKD_CON.043"	0.287287287287287	0.712712712712713	1
"CKD_CON.058"	0.43043043043043	0.56956956956957	1
"CKD_CON.016"	0.707707707707708	0.292292292292292	1
"SRR13077867"	0.514514514514514	0.485485485485485	1
"SRR13077845"	0.555555555555556	0.444444444444444	1
"SRR13077911"	0.169169169169169	0.830830830830831	1
"SRR13077665"	0.651651651651652	0.348348348348348	1
"SRR13077681"	0.354354354354354	0.645645645645646	1
"SRR13077735"	0.303303303303303	0.696696696696697	1
"SRR13077709"	0.46046046046046	0.53953953953954	1
"SRR13077856"	0.353353353353353	0.646646646646647	1
"SRR13077671"	0.522522522522523	0.477477477477477	1
"SRR13077667"	0.432432432432432	0.567567567567568	1
"SRR13077843"	0.369369369369369	0.630630630630631	1
"SRR13077766"	0.198198198198198	0.801801801801802	1
"SRR13077675"	0.590590590590591	0.409409409409409	1
"SRR13077831"	0.178178178178178	0.821821821821822	1
"SRR13077674"	0.277277277277277	0.722722722722723	1
"SRR13077837"	0.42042042042042	0.57957957957958	1
"SRR13077835"	0.303303303303303	0.696696696696697	1
"SRR13077836"	0.339339339339339	0.660660660660661	1
"SRR13077834"	0.506506506506507	0.493493493493493	1
"SRR13077669"	0.356356356356356	0.643643643643644	1
"SRR13077712"	0.543543543543544	0.456456456456456	1
"SRR13077755"	0.464464464464464	0.535535535535536	1
"Yu_68"	0.498498498498498	0.501501501501502	1
"Yu_61"	0.604604604604605	0.395395395395395	1
"Yu_77"	0.374374374374374	0.625625625625626	1
"Yu_67"	0.329329329329329	0.670670670670671	1
"Yu_21"	0.202202202202202	0.797797797797798	1
"Yu_25"	0.303303303303303	0.696696696696697	1
"Yu_9"	0.389389389389389	0.610610610610611	1
"Yu_70"	0.411411411411411	0.588588588588589	1
"Yu_79"	0.361361361361361	0.638638638638639	1
"Yu_50"	0.311311311311311	0.688688688688689	1
"Yu_84"	0.504504504504504	0.495495495495495	1
"Yu_85"	0.633633633633634	0.366366366366366	1
"Yu_81"	0.493493493493493	0.506506506506507	1
"Yu_59"	0.364364364364364	0.635635635635636	1
"Yu_54"	0.375375375375375	0.624624624624625	1
"SRR16124354"	0.426426426426426	0.573573573573574	1
"SRR16124206"	0.197197197197197	0.802802802802803	1
"SRR16124253"	0.477477477477477	0.522522522522523	1
"SRR16124214"	0.519519519519519	0.48048048048048	1
"SRR16124249"	0.281281281281281	0.718718718718719	1
"SRR16124175"	0.339339339339339	0.660660660660661	1
"SRR16124252"	0.428428428428428	0.571571571571572	1
"SRR16124204"	0.425425425425425	0.574574574574575	1
"SRR16124179"	0.168168168168168	0.831831831831832	1
"SRR16124186"	0.510510510510511	0.48948948948949	1
"SRR16124248"	0.372372372372372	0.627627627627628	1
"SRR16124254"	0.376376376376376	0.623623623623624	1
"SRR16124288"	0.505505505505506	0.494494494494495	1
"SRR16124241"	0.331331331331331	0.668668668668669	1
"SRR16124200"	0.392392392392392	0.607607607607608	1
"SRR16124210"	0.316316316316316	0.683683683683684	1
"SRR16124230"	0.22022022022022	0.77977977977978	1
"SRR16124223"	0.546546546546547	0.453453453453453	1
"SRR16124199"	0.468468468468468	0.531531531531532	1
"SRR16124245"	0.482482482482482	0.517517517517518	1
"SRR16124174"	0.523523523523523	0.476476476476476	1
"SRR16124195"	0.462462462462462	0.537537537537538	1
"SRR16124217"	0.377377377377377	0.622622622622623	1
"SRR16124189"	0.46046046046046	0.53953953953954	1
"SRR16124213"	0.414414414414414	0.585585585585586	1
"SRR11973587"	0.604604604604605	0.395395395395395	1
"SRR11971755"	0.582582582582583	0.417417417417417	1
"SRR11977458"	0.603603603603604	0.396396396396396	1
"SRR11977467"	0.695695695695696	0.304304304304304	1
"SRR11971754"	0.547547547547548	0.452452452452452	1
"SRR11971753"	0.602602602602603	0.397397397397397	1
"SRR11977473"	0.526526526526527	0.473473473473473	1
"SRR11971747"	0.646646646646647	0.353353353353353	1
"SRR11973594"	0.75975975975976	0.24024024024024	1
"SRR11973579"	0.491491491491492	0.508508508508508	1
"SRR11977465"	0.694694694694695	0.305305305305305	1
"SRR11977475"	0.444444444444444	0.555555555555556	1
"SRR11977464"	0.259259259259259	0.740740740740741	1
"C61"	0.496496496496497	0.503503503503503	1
"C49"	0.331331331331331	0.668668668668669	1
"C67"	0.443443443443443	0.556556556556557	1
"C74"	0.553553553553554	0.446446446446446	1
"C71"	0.327327327327327	0.672672672672673	1
"C47"	0.461461461461461	0.538538538538539	1
"C01"	0.664664664664665	0.335335335335335	1
"C24"	0.494494494494495	0.505505505505506	1
"C79"	0.577577577577578	0.422422422422422	1
"C62"	0.54954954954955	0.45045045045045	1
"C55"	0.23023023023023	0.76976976976977	1
"C51"	0.413413413413413	0.586586586586587	1
"C07"	0.586586586586587	0.413413413413413	1
"C102"	0.541541541541542	0.458458458458458	1
"C107"	0.336336336336336	0.663663663663664	1
"C52"	0.333333333333333	0.666666666666667	1
"C94"	0.483483483483483	0.516516516516517	1
"C95"	0.451451451451451	0.548548548548549	1
"C44"	0.517517517517518	0.482482482482482	1
"SRR5818477"	0.583583583583584	0.416416416416416	1
"SRR5818474"	0.182182182182182	0.817817817817818	1
"ERR1398129"	0.562562562562563	0.437437437437437	1
"ERR1398248"	0.606606606606607	0.393393393393393	1
"ERR1398101"	0.415415415415415	0.584584584584585	1
"ERR1398161"	0.661661661661662	0.338338338338338	1
"ERR1398127"	0.427427427427427	0.572572572572573	1
"ERR1398205"	0.4994994994995	0.500500500500501	1
"ERR1398138"	0.67967967967968	0.32032032032032	1
"ERR1398152"	0.663663663663664	0.336336336336336	1
"ERR1398218"	0.760760760760761	0.239239239239239	1
"H32"	0.305305305305305	0.694694694694695	1
"H09"	0.283283283283283	0.716716716716717	1
"H51"	0.551551551551552	0.448448448448448	1
"H02"	0.78978978978979	0.21021021021021	1
"H17"	0.518518518518518	0.481481481481481	1
"H18"	0.244244244244244	0.755755755755756	1
